Year,MM,DD,HH,MM,Sec,Latitude,Longitude,Depth,stations,RMS,Mc,AzGap,TimeErr,LatErr,LonErr,DepthErr
2008,8,26,07,15,42.7,-25.720,-68.843,96.0,35,0.5,,158,1.43,4.4,4.6,6.8
2008,8,26,16,54,6.8,-27.320,-66.526,23.7,25,0.6,,114,1.73,5.7,12.4,18.3
2008,8,27,23,19,5.9,-27.623,-68.672,109.2,15,0.8,,228,2.28,13.9,13.2,14.6
2008,8,28,17,57,15.6,-27.946,-68.570,100.8,24,0.9,,220,2.58,12.4,9.8,13.2
2008,8,29,02,23,2.4,-28.419,-67.513,102.9,15,0.8,,272,2.25,11.3,10.2,14.5
2008,8,30,16,46,8.6,-27.579,-67.434,128.4,15,0.5,,113,1.32,7.7,6.0,9.7
2008,8,30,23,27,10.9,-27.928,-68.897,104.0,17,0.8,,235,2.19,14.1,8.4,12.9
2008,8,31,08,03,34.3,-26.526,-67.587,6.7,45,1.1,,48,3.00,2.3,2.4,10.4
2008,8,31,15,22,0.2,-26.335,-68.416,117.2,31,0.9,,98,2.44,8.1,6.7,10.8
2008,9,2,17,27,34.3,-28.008,-67.428,127.5,29,0.8,,222,2.11,8.0,6.7,7.1
2008,9,3,22,35,48.0,-28.751,-67.532,109.2,31,0.9,,292,2.38,12.9,10.1,15.1
2008,9,6,14,16,1.9,-27.814,-66.794,158.4,35,1.0,,218,2.77,12.6,13.2,9.9
2008,9,8,02,18,28.7,-25.386,-66.757,204.9,18,0.6,,267,1.71,15.6,13.5,19.8
2008,9,8,13,59,23.3,-28.412,-67.433,122.7,29,0.9,,255,2.47,11.4,9.6,10.5
2008,9,10,13,52,29.4,-27.269,-69.176,90.1,28,0.9,,159,2.39,10.5,14.9,14.2
2008,9,10,19,16,1.6,-26.690,-68.482,106.8,29,0.8,,70,2.21,5.5,5.0,7.5
2008,9,11,00,59,30.8,-28.104,-66.283,37.9,15,1.0,,285,2.62,10.6,9.4,6.0
2008,9,12,15,10,47.3,-27.257,-68.133,118.4,19,1.0,,141,2.85,10.5,11.0,11.7
2008,9,13,16,47,31.4,-27.843,-68.281,107.9,20,1.0,,206,2.77,11.6,7.5,10.7
2008,9,15,09,28,10.6,-26.228,-69.070,107.8,23,0.8,,123,2.20,6.9,8.3,11.9
2008,9,15,21,43,44.3,-28.406,-69.165,87.0,28,0.9,,283,2.44,20.2,12.4,26.4
2008,9,17,05,08,26.9,-25.162,-69.046,89.3,17,0.4,,236,1.21,12.9,7.0,9.9
2008,9,17,06,24,37.0,-27.492,-66.137,25.5,29,0.9,,276,2.60,6.0,9.2,8.6
2008,9,19,10,23,45.6,-28.733,-67.621,108.9,15,0.5,,295,1.44,12.4,14.0,13.6
2008,9,21,02,20,29.7,-28.613,-67.468,123.4,17,0.5,,286,1.41,12.6,14.7,14.9
2008,9,22,16,50,9.8,-28.432,-66.303,0.0,30,1.1,,303,3.07,75.0,75.0,44.4
2008,9,22,23,53,28.8,-27.967,-66.577,158.1,15,0.6,,277,1.52,13.4,15.9,9.5
2008,9,23,05,33,38.8,-27.482,-67.597,121.9,20,0.5,,86,1.43,6.6,5.6,6.5
2008,9,23,06,17,45.8,-27.364,-69.538,100.2,35,0.9,,247,2.42,8.2,9.3,15.5
2008,9,24,01,31,36.1,-27.858,-66.642,156.5,26,0.9,,257,2.61,9.6,17.4,10.6
2008,9,24,07,45,27.7,-27.292,-67.410,13.9,21,1.1,,67,3.04,4.4,6.0,21.0
2008,9,26,02,21,27.4,-28.459,-67.433,115.9,32,0.8,,258,2.30,12.8,11.4,12.7
2008,9,27,01,24,16.3,-27.557,-67.426,130.2,18,0.6,,111,1.72,8.6,11.4,8.1
2008,9,27,04,37,17.0,-26.361,-67.844,10.7,54,0.9,,43,2.61,2.0,2.3,8.7
2008,9,30,05,45,16.8,-27.883,-66.834,156.8,15,0.7,,270,1.87,15.0,18.0,11.0
2008,10,1,14,18,23.3,-28.359,-67.523,119.7,19,0.8,,267,2.18,14.6,15.2,13.6
2008,10,2,01,16,40.0,-25.947,-67.750,0.0,20,0.6,,198,1.66,6.2,3.7,35.2
2008,10,2,05,30,3.9,-28.160,-69.544,81.9,16,0.9,,283,2.31,23.3,16.6,24.3
2008,10,3,01,53,56.0,-27.229,-66.652,0.0,26,0.9,,185,2.51,4.2,8.3,135.8
2008,10,3,07,24,17.1,-27.229,-66.641,0.1,24,0.7,,186,1.95,3.2,6.4,105.6
2008,10,4,04,44,30.3,-27.248,-66.607,0.1,29,0.9,,192,2.35,5.8,10.9,278.8
2008,10,4,17,21,16.8,-27.468,-67.604,121.7,27,0.6,,74,1.68,4.9,5.2,5.5
2008,10,5,08,15,13.1,-28.127,-68.388,33.9,23,0.7,,291,2.02,8.6,10.0,5.5
2008,10,5,23,45,25.2,-28.264,-67.442,127.3,35,0.8,,245,2.33,8.3,7.6,8.5
2008,10,6,19,01,52.4,-27.652,-67.448,127.8,31,0.7,,124,1.95,8.4,7.5,7.5
2008,10,7,00,10,34.6,-27.890,-67.245,38.5,20,0.9,,201,2.45,5.5,5.1,5.3
2008,10,7,21,01,21.0,-27.516,-69.262,99.5,33,0.8,,254,2.32,9.1,11.5,16.3
2008,10,8,15,05,22.3,-26.405,-67.875,8.3,47,0.9,,39,2.52,2.0,2.4,10.6
2008,10,8,21,30,39.5,-27.660,-67.445,127.4,25,0.6,,125,1.75,8.6,7.5,9.0
2008,10,9,11,09,27.4,-28.414,-67.686,113.1,16,0.8,,252,2.28,23.0,15.1,13.3
2008,10,10,22,23,28.9,-28.665,-69.447,106.6,29,0.8,,292,2.29,27.0,18.5,30.8
2008,10,12,03,10,12.7,-28.262,-67.086,34.9,23,1.2,,260,3.19,12.6,8.6,8.1
2008,10,15,20,27,5.1,-28.195,-68.291,96.1,34,0.9,,239,2.47,13.2,8.9,11.5
2008,10,17,10,16,43.9,-28.605,-66.985,122.6,24,0.9,,288,2.47,14.3,17.1,16.6
2008,10,17,19,03,21.4,-25.558,-68.726,90.6,25,0.5,,196,1.24,5.6,4.1,8.3
2008,10,18,10,05,17.4,-26.198,-66.799,24.5,22,1.0,,209,2.71,7.1,9.5,9.7
2008,10,20,10,46,16.7,-28.260,-67.400,118.1,31,0.8,,245,2.20,10.7,9.0,8.1
2008,10,21,11,26,31.8,-26.856,-65.560,23.8,20,0.4,,287,1.02,5.1,9.3,4.7
2008,10,25,09,04,55.2,-28.182,-67.565,118.5,20,0.8,,248,2.15,11.7,14.2,8.8
2008,10,27,10,21,53.9,-25.980,-69.076,98.0,28,0.6,,120,1.75,6.0,6.6,9.7
2008,10,27,19,08,16.6,-27.131,-69.346,105.9,34,0.9,,190,2.40,6.0,7.8,8.5
2008,10,28,08,19,28.5,-28.397,-67.134,121.7,28,0.9,,271,2.37,13.2,11.1,11.2
2008,10,28,09,31,56.5,-27.353,-66.512,0.1,28,0.7,,210,1.85,3.5,9.9,136.0
2008,10,28,10,49,7.8,-27.327,-67.174,136.1,32,0.7,,93,2.01,7.0,7.2,7.4
2008,10,29,19,49,49.5,-27.136,-65.757,0.0,22,0.9,,264,2.40,8.6,15.4,263.2
2008,10,30,02,05,41.9,-27.573,-67.396,131.1,30,0.8,,117,2.31,9.0,6.3,9.5
2008,10,31,19,03,13.1,-25.860,-69.276,90.3,33,0.9,,165,2.59,7.3,8.8,11.0
2008,11,1,04,08,40.9,-28.603,-67.287,102.4,16,0.6,,267,1.64,9.6,8.1,19.8
2008,11,1,06,30,18.6,-28.159,-66.579,20.7,17,0.6,,240,1.74,8.1,5.2,28.2
2008,11,1,08,55,40.8,-27.824,-68.536,107.7,36,0.9,,202,2.46,10.6,7.1,10.5
2008,11,1,18,23,25.4,-27.717,-67.315,136.3,29,0.7,,176,1.87,7.6,5.8,8.1
2008,11,2,19,39,30.0,-25.962,-67.803,5.6,16,0.3,,215,0.88,3.5,3.9,8.5
2008,11,6,05,24,53.1,-26.197,-69.603,84.5,32,1.0,,204,2.83,6.7,9.2,11.9
2008,11,7,04,24,32.9,-26.474,-67.304,4.5,15,1.0,,112,2.66,6.6,6.2,14.1
2008,11,7,04,25,54.5,-26.517,-67.328,3.0,51,0.9,,41,2.38,1.7,2.1,7.9
2008,11,8,20,33,44.6,-25.709,-67.664,7.6,29,0.6,,105,1.54,4.0,4.2,15.1
2008,11,12,19,24,46.2,-28.326,-67.475,102.9,25,0.8,,245,2.22,9.6,7.1,9.4
2008,11,16,06,05,20.6,-27.533,-67.383,131.4,22,0.6,,112,1.72,6.3,5.2,7.3
2008,11,16,06,29,49.0,-27.480,-69.421,94.0,22,0.8,,281,2.12,17.4,22.6,16.3
2008,11,17,18,38,49.1,-27.276,-66.546,19.5,20,0.7,,127,2.02,5.6,8.0,24.9
2008,11,18,06,02,57.5,-27.614,-69.079,100.9,20,0.7,,204,1.80,13.4,12.6,10.4
2008,11,18,07,45,7.6,-28.139,-67.864,34.1,18,1.1,,238,3.10,17.5,6.9,12.1
2008,11,19,05,30,17.9,-27.666,-67.449,127.4,17,0.5,,126,1.33,9.6,4.2,7.6
2008,11,19,16,11,13.0,-28.459,-66.419,0.0,31,1.2,,268,3.24,22.7,19.3,22.3
2008,11,19,23,33,8.8,-27.080,-66.828,0.0,24,1.5,,127,4.15,6.4,7.9,78.1
2008,11,20,11,51,46.2,-27.633,-67.381,134.5,16,0.8,,164,2.05,13.0,14.8,15.5
2008,11,20,18,20,53.6,-28.946,-67.522,102.2,28,0.9,,280,2.44,18.2,12.0,25.4
2008,11,20,20,14,11.1,-28.136,-66.290,210.5,18,0.6,,253,1.56,40.9,37.2,82.0
2008,11,21,01,37,11.1,-28.873,-68.496,104.3,17,0.7,,285,1.92,22.0,10.2,27.1
2008,11,21,03,26,50.7,-26.849,-66.885,9.0,15,0.8,,138,2.22,4.0,5.9,19.0
2008,11,21,08,26,34.8,-27.860,-66.611,159.7,36,0.7,,202,1.90,8.9,7.1,6.7
2008,11,22,10,29,26.1,-26.445,-66.275,0.1,20,0.5,,223,1.40,4.2,6.1,117.1
2008,11,22,12,55,17.5,-28.837,-67.708,110.2,16,0.8,,277,2.08,14.5,14.7,18.9
2008,11,23,01,12,54.3,-27.543,-69.537,103.0,21,0.6,,260,1.62,17.1,21.5,23.1
2008,11,24,13,38,19.9,-27.439,-67.194,136.3,24,1.0,,80,2.80,10.2,10.7,12.2
2008,11,25,06,58,17.3,-25.878,-67.101,17.9,19,0.7,,189,1.86,5.1,7.0,16.9
