2008 3 1 5 49 57.150 -26.538725 -67.045426 8.505 0.038	208.462 210.642 590.96
2008 3 2 10 9 9.910 -26.073783 -66.769690 1.701 0.046	221.031 204.43 1318.445
2008 3 3 16 9 7.050 -26.490686 -67.601668 6.861 0.038	58.439 62.965 179.745
2008 3 4 12 6 14.640 -25.865531 -67.289722 9.944 0.033	83.768 110.206 128.72
2008 3 4 12 7 16.140 -25.863796 -67.289832 10.252 0.032	110.168 204.949 261.38
2008 3 4 12 24 48.990 -25.864305 -67.289343 10.445 0.036	80.674 100.371 116.51
2008 3 4 12 37 8.750 -25.867379 -67.291695 9.427 0.033	95.579 121.565 159.165
2008 3 4 12 48 10.440 -25.866606 -67.295768 9.297 0.034	131.486 124.704 278.305
2008 3 4 12 49 54.810 -25.868886 -67.285986 9.499 0.032	87.25 137.648 146.385
2008 3 4 13 3 12.820 -25.869232 -67.291980 9.223 0.044	170.452 156.132 205.495
2008 3 4 16 21 58.980 -25.867037 -67.294922 9.003 0.037	102.721 120.274 173.275
2008 3 5 2 45 16.200 -26.978231 -67.260380 8.034 0.048	123.18 201.374 593.955
2008 3 5 2 45 48.250 -26.977456 -67.259395 8.812 0.050	104.385 169.463 705.07
2008 3 6 23 52 40.740 -26.814832 -67.090865 6.531 0.040	160.161 125.83 192.845
2008 3 7 12 27 14.540 -26.731252 -67.593913 7.288 0.043	165.544 333.569 237.78
2008 3 7 16 29 25.650 -26.737374 -67.313220 7.711 0.044	260.791 190.477 660.765
2008 3 8 2 36 55.380 -26.606854 -67.637004 4.792 0.047	128.044 115.209 242.705
2008 3 9 23 48 18.520 -26.626648 -67.518665 5.767 0.045	91.767 105.983 197.665
2008 3 11 3 23 2.420 -26.448006 -67.183105 8.276 0.038	48.189 103.457 143.24
2008 3 13 17 21 9.760 -26.620799 -67.652584 7.909 0.040	78.857 57.931 158.58
2008 3 15 2 51 55.080 -26.933685 -67.056514 10.647 0.054	151.388 155.106 433.5
2008 3 16 4 32 9.410 -26.493134 -67.540129 12.14 0.042	112.94 76.661 184.845
2008 3 19 0 17 37.990 -26.636365 -67.583639 5.484 0.039	156.136 93.423 126.58
2008 3 20 0 46 16.000 -26.565440 -67.647530 5.035 0.050	183.172 196.448 832.015
2008 3 22 4 34 35.070 -26.842460 -66.924064 3.875 0.019	258.113 204.078 760.035
2008 3 25 0 47 46.850 -26.407599 -66.915393 9.37 0.035	74.825 94.728 500.01
2008 3 26 0 52 38.990 -27.089714 -67.054451 3.774 0.049	142.263 70.739 372.63
2008 3 26 2 34 54.270 -26.593793 -67.631425 6.019 0.042	101.865 74.421 189.035
2008 3 27 18 7 51.360 -26.607981 -67.690983 2.071 0.040	68.704 65.902 378.805
