	 1 	 74   7.22
	 2 	 74   11.87
-67.8322 	 -26.2063 	 7.77 	 39
	 1 	 56   17.64
	 2 	 56   29.60
	 1 	 57   18.93
	 2 	 57   32.66
	 2 	 58   34.17
	 1 	 59   21.43
	 2 	 59   36.31
	 1 	 33   21.82
	 1 	 29   18.25
	 2 	 29   31.28
	 1 	 28   17.07
	 2 	 25   22.94
	 1 	 25   13.24
	 1 	 24   11.91
	 1 	 23   9.75
	 2 	 23   16.30
	 1 	 22   8.32
	 2 	 22   14.02
	 1 	 74   17.39
	 2 	 74   29.02
	 1 	 18   7.69
	 2 	 18   13.00
	 1 	 19   7.77
	 2 	 19   12.69
	 1 	 20   8.40
	 2 	 20   14.21
	 1 	 13   31.39
	 1 	 21   9.78
	 1 	 9   19.93
	 2 	 9   33.36
	 1 	 10   22.16
	 2 	 10   37.58
	 1 	 8   17.98
	 2 	 8   29.89
	 2 	 38   39.32
	 1 	 38   23.75
	 2 	 66   29.68
	 1 	 67   20.32
	 2 	 67   33.76
-68.2047 	 -26.7605 	 4.54 	 32
	 1 	 56   5.37
	 2 	 56   9.49
	 1 	 57   7.51
	 2 	 57   13.43
	 1 	 59   10.81
	 2 	 59   18.29
	 1 	 58   9.25
	 2 	 58   15.73
	 1 	 33   15.61
	 2 	 33   26.29
	 1 	 74   28.47
	 1 	 19   17.72
	 1 	 20   16.64
	 2 	 21   27.55
	 1 	 21   16.42
	 2 	 10   41.56
	 2 	 38   38.01
	 1 	 38   23.17
	 2 	 40   54.85
	 1 	 40   31.85
	 2 	 66   18.47
	 1 	 66   11.01
	 1 	 67   12.21
	 1 	 70   17.41
	 1 	 68   13.65
	 2 	 68   26.39
	 1 	 69   16.23
	 2 	 69   30.03
	 1 	 71   18.85
	 2 	 73   41.11
	 2 	 46   33.93
	 1 	 46   20.13
-66.7758 	 -25.9444 	 1.89 	 29
	 1 	 9   15.45
	 2 	 9   25.75
	 1 	 38   22.73
	 2 	 8   27.20
	 1 	 8   15.86
	 1 	 21   13.19
	 1 	 20   12.82
	 1 	 19   12.97
	 1 	 18   12.19
	 2 	 18   20.03
	 2 	 22   18.93
	 2 	 23   17.42
	 1 	 23   10.56
	 2 	 24   15.64
	 1 	 24   9.35
	 2 	 25   15.88
	 1 	 25   9.51
	 1 	 74   3.71
	 2 	 74   6.37
	 2 	 28   18.68
	 1 	 28   11.23
	 2 	 29   21.49
	 1 	 29   12.93
	 2 	 15   43.03
	 2 	 14   38.56
	 2 	 13   35.11
	 1 	 13   20.59
	 2 	 12   30.44
	 1 	 10   17.47
-67.5115 	 -26.4831 	 2.76 	 28
	 1 	 66   13.44
	 2 	 18   13.80
	 1 	 18   7.86
	 2 	 22   15.17
	 2 	 23   17.66
	 1 	 23   10.59
	 1 	 19   6.32
	 2 	 29   38.49
	 1 	 29   21.04
	 1 	 28   18.75
	 1 	 24   12.55
	 1 	 25   14.00
	 2 	 25   25.74
	 1 	 20   4.20
	 2 	 20   6.46
	 1 	 74   15.88
	 2 	 74   26.80
	 1 	 21   3.34
	 2 	 21   5.20
	 1 	 13   24.93
	 1 	 9   12.71
	 2 	 9   20.97
	 1 	 10   14.91
	 2 	 10   24.89
	 1 	 8   10.52
	 2 	 8   17.56
	 2 	 38   26.90
	 1 	 38   16.30
-65.9015 	 -26.8823 	 6.65 	 33
	 1 	 73   35.25
	 2 	 73   59.21
	 1 	 39   24.96
	 2 	 39   41.64
	 2 	 71   54.40
	 2 	 14   5.83
	 1 	 14   3.49
	 2 	 69   56.00
	 1 	 38   19.09
	 2 	 38   31.55
	 2 	 68   56.53
	 2 	 30   68.02
	 1 	 67   33.63
	 2 	 66   52.44
	 1 	 13   4.47
	 2 	 13   7.32
	 1 	 10   14.98
	 1 	 8   19.46
	 2 	 9   27.43
	 1 	 12   7.41
	 2 	 12   12.23
	 1 	 21   26.21
	 2 	 21   43.75
	 1 	 20   27.89
	 2 	 20   46.51
	 1 	 19   29.73
	 1 	 28   33.19
	 1 	 17   10.20
	 2 	 17   17.87
	 1 	 16   4.33
	 2 	 16   7.20
	 1 	 15   2.91
	 2 	 15   4.85
-66.5796 	 -27.3314 	 8.8 	 22
	 1 	 40   5.89
	 1 	 73   22.33
	 2 	 73   37.01
	 2 	 39   19.53
	 1 	 39   10.15
	 1 	 71   18.57
	 1 	 69   19.77
	 1 	 30   27.21
	 1 	 66   18.99
	 1 	 38   7.51
	 2 	 38   15.09
	 1 	 21   21.31
	 1 	 20   23.20
	 1 	 8   13.26
	 1 	 9   11.55
	 1 	 10   9.47
	 1 	 74   29.92
	 2 	 74   51.28
	 1 	 12   11.51
	 1 	 13   12.45
	 2 	 14   22.91
	 1 	 14   13.30
-66.7113 	 -26.0656 	 2.25 	 32
	 1 	 10   15.10
	 2 	 10   25.87
	 1 	 9   13.27
	 2 	 9   22.59
	 1 	 38   20.57
	 2 	 38   34.72
	 1 	 8   14.03
	 2 	 8   24.05
	 1 	 21   12.68
	 2 	 21   21.19
	 1 	 20   12.76
	 1 	 19   13.25
	 1 	 18   12.93
	 2 	 18   21.50
	 1 	 22   12.42
	 2 	 22   20.67
	 1 	 23   11.93
	 2 	 23   19.75
	 1 	 24   11.17
	 2 	 24   18.64
	 1 	 27   13.02
	 2 	 27   21.51
	 1 	 74   6.10
	 2 	 74   10.43
	 1 	 28   13.66
	 2 	 28   22.71
	 2 	 15   38.71
	 2 	 14   34.35
	 1 	 13   18.50
	 2 	 13   30.64
	 2 	 12   26.00
	 2 	 40   50.99
-67.3335 	 -25.8395 	 6.72 	 16
	 1 	 21   10.99
	 2 	 21   19.87
	 1 	 19   7.61
	 2 	 18   9.30
	 1 	 18   5.70
	 1 	 22   4.60
	 2 	 22   7.50
	 1 	 23   2.79
	 2 	 23   4.34
	 1 	 24   2.06
	 2 	 24   2.91
	 1 	 27   5.45
	 1 	 28   6.81
	 2 	 28   11.83
	 1 	 74   7.22
	 2 	 74   11.85
-68.189 	 -26.7842 	 0.81 	 18
	 1 	 55   2.77
	 1 	 56   5.41
	 2 	 56   9.55
	 1 	 57   7.55
	 2 	 57   13.49
	 1 	 59   10.89
	 2 	 59   18.35
	 1 	 58   9.31
	 2 	 58   15.77
	 1 	 33   15.87
	 1 	 19   17.78
	 1 	 20   16.66
	 1 	 21   16.44
	 1 	 69   16.29
	 1 	 46   20.13
	 2 	 46   33.93
	 2 	 30   21.99
	 1 	 30   12.69
-65.9203 	 -27.1834 	 13.06 	 26
	 1 	 41   8.48
	 2 	 41   14.44
	 1 	 40   14.94
